Id,Symbol,Shares,Buy Price,Sell Price,Profit,Expense,ROI
7,tsla,10000,273.6,253.5,-201014.0,2736000.0,-7.347
9,tmfc,7000,21.85,23.15,9086.0,152950.0,5.9405
12,tsla,5000,250.3,253.5,15986.0,1251500.0,1.2773
14,tmfc,2000,22.5,23.15,1286.0,45000.0,2.8578
16,lyft,1500,62.4,64.79,3571.0,93600.0,3.8152
42,amd,1000,26.44,34.39,7936.0,26440.0,30.0151
46,nio,10000,3.02,3.39,3686.0,30200.0,12.2053
47,tsla,600,185.94,253.5,40522.0,111564.0,36.3218
53,yndx,250,39.2,40.48,306.0,9800.0,3.1224
54,pypl,700,117.16,120.9,2604.0,82012.0,3.1751
55,yndx,300,38.71,40.48,517.0,11613.0,4.4519
56,pypl,300,117.06,120.9,1138.0,35118.0,3.2405
58,twlo,800,144.73,145.4,522.0,115784.0,0.4508
59,amd,3500,32.04,34.39,8211.0,112140.0,7.3221
60,db,5500,7.54,7.77,1251.0,41470.0,3.0166
62,db,2000,7.28,7.77,966.0,14560.0,6.6346
66,shop,500,319.01,324.02,2491.0,159505.0,1.5617
67,save,50,51.41,50.91,-39.0,2570.5,-1.5172
68,f,15000,10.11,10.42,4636.0,151650.0,3.057
69,btc,10,11496.82,10734.77,-7634.5,114968.2,-6.6405
70,ctl,15000,12.06,12.26,2986.0,180900.0,1.6506
71,btc,15,11372.28,10734.77,-9576.65,170584.2,-5.614
72,btc,5,10633.28,10734.77,493.45,53166.4,0.9281
73,btc,10,10308.99,10734.77,4243.8,103089.9,4.1166
