Id,Symbol,Shares,Buy Price,Sell Price,Profit,Expense,ROI
0,s,50,6.5,6.91,6.5,325.0,2.0
1,mo,50,69.4,49.08,-1030.0,3470.0,-29.683
2,mo,50,59.27,49.08,-523.5,2963.5,-17.6649
3,mmp,200,57.95,61.46,688.0,11590.0,5.9362
4,oled,100,105.88,165.35,5933.0,10588.0,56.0351
5,snap,8000,7.8,9.39,12706.0,62400.0,20.3622
6,nvda,2000,148.9,189.32,80826.0,297800.0,27.141
7,tsla,10000,273.6,253.5,-201014.0,2736000.0,-7.347
8,tsla,8000,267.77,274.43,53266.0,2142160.0,2.4866
9,tmfc,7000,21.85,23.15,9086.0,152950.0,5.9405
10,apha,3500,10.1,6.75,-11739.0,35350.0,-33.2079
11,apha,500,8.6,6.75,-939.0,4300.0,-21.8372
12,tsla,5000,250.3,253.5,15986.0,1251500.0,1.2773
13,tsla,800,237.6,246.14,6818.0,190080.0,3.5869
14,tmfc,2000,22.5,23.15,1286.0,45000.0,2.8578
15,intc,2000,51.05,47.82,-6474.0,102100.0,-6.3408
16,lyft,1500,62.4,64.79,3571.0,93600.0,3.8152
17,lyft,200,60.37,63.55,622.0,12074.0,5.1516
18,amd,500,26.68,33.79,3541.0,13340.0,26.5442
19,btc,50,5880.0,7833.0,97636.0,294000.0,33.2095
20,btc,20,6059.0,7928.0,37366.0,121180.0,30.8351
21,uber,400,45.0,42.04,-1198.0,18000.0,-6.6556
22,btc,10,6375.0,6884.0,5076.0,63750.0,7.9624
23,btc,20,6971.41,8099.0,22537.8,139428.2,16.1644
24,btc,20,7715.0,8247.0,10626.0,154300.0,6.8866
25,tsla,300,226.68,192.85,-10163.0,68004.0,-14.9447
26,btc,20,7782.0,9263.0,29606.0,155640.0,19.0221
27,btc,35,8124.0,9263.0,39851.0,284340.0,14.0153
28,btc,50,7876.0,9263.0,69336.0,393800.0,17.6069
29,btc,10,7857.0,9263.0,14046.0,78570.0,17.8771
30,btc,5,7830.0,9263.0,7151.0,39150.0,18.2656
31,btc,10,7263.0,9263.0,19986.0,72630.0,27.5176
32,tsla,1000,210.01,192.85,-17174.0,210010.0,-8.1777
33,tsla,50,197.9,192.85,-266.5,9895.0,-2.6933
34,baba,50,163.13,155.63,-389.0,8156.5,-4.7692
35,btc,400,7762.0,9263.0,600386.0,3104800.0,19.3373
36,btc,30,7718.0,9263.0,46336.0,231540.0,20.0121
37,btc,50,7672.0,9263.0,79536.0,383600.0,20.7341
38,btc,20,7645.0,9263.0,32346.0,152900.0,21.155
39,btc,30,7615.0,9263.0,49426.0,228450.0,21.6354
40,btc,10,7580.0,9263.0,16816.0,75800.0,22.1847
41,intc,1000,44.2,47.82,3606.0,44200.0,8.1584
42,amd,1000,26.44,34.39,7936.0,26440.0,30.0151
43,bynd,5000,86.0,97.5,57486.0,430000.0,13.3688
44,bynd,800,97.5,168.5,56786.0,78000.0,72.8026
45,nflx,100,348.02,376.16,2800.0,34802.0,8.0455
46,nio,10000,3.02,3.39,3686.0,30200.0,12.2053
47,tsla,600,185.94,253.5,40522.0,111564.0,36.3218
48,btc,250,8540.0,9263.0,180736.0,2135000.0,8.4654
49,btc,600,7810.0,9263.0,871786.0,4686000.0,18.6041
50,btc,200,9214.0,11520.0,461186.0,1842800.0,25.0264
51,fb,1000,188.88,201.83,12936.0,188880.0,6.8488
52,btc,300,10940.0,11660.26,216064.0,3282000.0,6.5833
53,yndx,250,39.2,40.48,306.0,9800.0,3.1224
54,pypl,700,117.16,120.9,2604.0,82012.0,3.1751
55,yndx,300,38.71,40.48,517.0,11613.0,4.4519
56,pypl,300,117.06,120.9,1138.0,35118.0,3.2405
57,btc,30,12350.85,12285.76,-1966.7,370525.5,-0.5308
58,twlo,800,144.73,145.4,522.0,115784.0,0.4508
59,amd,3500,32.04,34.39,8211.0,112140.0,7.3221
60,db,5500,7.54,7.77,1251.0,41470.0,3.0166
61,btc,75,12485.28,11660.26,-61890.5,936396.0,-6.6094
62,db,2000,7.28,7.77,966.0,14560.0,6.6346
63,btc,50,12014.47,11660.26,-17724.5,600723.5,-2.9505
64,btc,25,11942.9,11660.26,-7080.0,298572.5,-2.3713
65,btc,5,11881.92,11660.26,-1122.3,59409.6,-1.8891
66,shop,500,319.01,324.02,2491.0,159505.0,1.5617
67,save,50,51.41,50.91,-39.0,2570.5,-1.5172
68,f,15000,10.11,10.42,4636.0,151650.0,3.057
69,btc,10,11496.82,10734.77,-7634.5,114968.2,-6.6405
70,ctl,15000,12.06,12.26,2986.0,180900.0,1.6506
71,btc,15,11372.28,10734.77,-9576.65,170584.2,-5.614
72,btc,5,10633.28,10734.77,493.45,53166.4,0.9281
73,btc,10,10308.99,10734.77,4243.8,103089.9,4.1166
